Comarca-familiar;2017-2018(Mujer);2017-2018(Hombre);2017-2018(Total);2018-2019(Mujer);2018-2019(Hombre);2018-2019(Total);2019-2020(Mujer);2019-2020(Hombre);2019-2020(Total);2020-2021(Mujer);2020-2021(Hombre);2020-2021(Total)
ALTO MILLARES;4;5;9;5;5;10;7;3;10;9;2;11
ALTO PALANCIA;122;80;202;117;67;184;129;62;191;115;56;171
BAIX SEGURA / VEGA BAJA;134;67;201;147;78;225;182;83;265;178;84;262
BAIX VINALOPO;76;46;122;75;53;128;88;48;136;93;55;148
CAPITAL DE PROVINCIA;0;1;1;0;0;0;0;0;0;0;0;0
EL BAIX MAESTRAT;182;119;301;200;126;326;225;129;354;233;135;368
EL CAMP DE MORVEDRE;458;264;722;481;281;762;489;279;768;483;272;755
EL CAMP DE TURIA;1.074;690;1.764;1.031;683;1.714;1.025;692;1.717;1.051;686;1.737
EL COMTAT;89;64;153;85;58;143;100;56;156;93;58;151
EL VALLE DE AYORA;60;20;80;49;23;72;46;21;67;42;12;54
ELS PORTS;11;4;15;13;6;19;8;5;13;10;4;14
L'ALACANTI;133;76;209;130;85;215;134;91;225;137;91;228
L'ALCALATEN;24;19;43;30;17;47;33;16;49;38;12;50
L'ALCOIA;248;115;363;253;104;357;257;122;379;254;114;368
L'ALT MAESTRAT;12;5;17;4;4;8;4;5;9;3;5;8
L'ALT VINALOPO / ALTO VINALOPO;108;63;171;99;58;157;98;51;149;119;58;177
L'HORTA NORD;1.636;1.052;2.688;1.646;1.017;2.663;1.640;1.012;2.652;1.596;1.007;2.603
L'HORTA OEST;2.570;1.516;4.086;2.663;1.521;4.184;2.618;1.499;4.117;2.609;1.456;4.065
L'HORTA SUD;1.151;658;1.809;1.105;620;1.725;1.094;597;1.691;1.056;599;1.655
LA CANAL DE NAVARRES;95;59;154;91;60;151;99;52;151;107;46;153
LA COSTERA;456;276;732;483;278;761;497;286;783;512;292;804
LA HOYA DE BUÑOL;267;137;404;271;133;404;264;127;391;283;125;408
LA MARINA ALTA;513;300;813;551;328;879;611;327;938;620;319;939
LA MARINA BAIXA;222;143;365;235;159;394;238;163;401;257;163;420
LA PLANA ALTA;398;232;630;400;241;641;418;235;653;454;232;686
LA PLANA BAIXA;441;238;679;446;257;703;430;252;682;431;245;676
LA PLANA DE UTIELNAREQUENA;284;164;448;278;171;449;284;165;449;281;181;462
LA RIBERA ALTA;1.405;796;2.201;1.458;786;2.244;1.458;748;2.206;1.473;735;2.208
LA RIBERA BAIXA;551;325;876;539;314;853;531;290;821;521;294;815
LA SAFOR;1.031;611;1.642;1.054;605;1.659;1.039;579;1.618;1.043;571;1.614
LA VALL D'ALBAIDA;610;343;953;639;334;973;614;335;949;637;320;957
LOS SERRANOS;115;62;177;112;67;179;110;60;170;101;65;166
NO INFORMADO;113;91;204;102;89;191;84;78;162;71;62;133
RINCON DE ADEMUZ;12;6;18;15;4;19;16;4;20;16;8;24
VALENCIA;6.952;4.755;11.707;7.063;4.811;11.874;6.970;4.710;11.680;6.739;4.383;11.122
VINALOPO MITJA / VINALOPO MEDIO;90;60;150;102;54;156;104;56;160;109;66;175
Total;21.647;13.462;35.109;21.972;13.497;35.469;21.944;13.238;35.182;21.774;12.813;34.587
