Ingreso;2017-2018(Mujer);2017-2018(Hombre);2017-2018(Total);2018-2019(Mujer);2018-2019(Hombre);2018-2019(Total);2019-2020(Mujer);2019-2020(Hombre);2019-2020(Total);2020-2021(Mujer);2020-2021(Hombre);2020-2021(Total)
ACC. 2n CICLE AMB CF;1;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
ACC. 2n CICLE SENSE CF;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
ADAPTACIO AL GRAU DESDE LL/D;452;442;894;360;305;665;255;247;502;226;204;430
ADAPTAT PLA ANTIC;39;33;72;30;20;50;21;16;37;24;17;41
ALTRES;93;66;159;71;51;122;9;7;16;6;4;10
BATXILLER DE LA U.E./CREDENCIAL;443;321;764;485;330;815;507;341;848;562;376;938
BATXILLERAT ANTIC;NA;1;1;NA;1;1;NA;NA;NA;NA;NA;NA
BATXILLERAT LOGSE;NA;1;1;NA;1;1;NA;NA;NA;NA;NA;NA
CICLE FORMATIU SUPERIOR;2863;1687;4550;2642;1564;4206;2517;1495;4012;2330;1390;3720
CONV. PARCIAL ESPECIAL;50;26;76;66;28;94;74;41;115;90;45;135
COU;2;NA;2;2;NA;2;1;NA;1;NA;NA;NA
CURS ADAPTACIO AL GRAU;19;19;38;7;11;18;7;4;11;13;6;19
DESCONEGUT;NA;1;1;NA;1;1;NA;1;1;NA;1;1
F.P.2;2;2;4;3;3;6;3;1;4;3;1;4
FREE MOVER;3;NA;3;2;1;3;4;1;5;1;NA;1
INTER. ALTRES UNIV.;4;NA;4;4;NA;4;4;NA;4;4;NA;4
MAJORS 25;344;396;740;358;361;719;346;338;684;317;292;609
MAJORS 40 ANYS;56;33;89;48;36;84;37;38;75;43;33;76
MAJORS 45 ANYS;51;21;72;55;28;83;53;20;73;52;21;73
PAU;17776;10596;28372;18354;10785;29139;18529;10762;29291;18826;10719;29545
PROCEDEIX D ESTUDIS ESTRANGERS;47;37;84;90;56;146;158;99;257;211;131;342
PROGRAMA DOBLE TITULACIÓ;1;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
PROGRAMA INTERNACIONAL;1801;768;2569;1863;808;2671;1969;761;2730;930;419;1349
RESOLUCIO RECTOR;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
T. HOMOLOGATS M.E.C.;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
TITULACIÓ UNIVERSITÀRIA;319;244;563;319;276;595;351;263;614;381;249;630
TRASLLAT/CONTINUACIÓ D'ESTUDIS U. ESPANYOLA;462;372;834;476;382;858;461;367;828;455;342;797
Total;24830;15070;39900;25235;15048;40283;25306;14802;40108;24474;14250;38724
