Nacionalidad;2017-2018(Mujer);2017-2018(Hombre);2017;2018-2019(Mujer);2018;2018-2019(Total);2019-2020(Hombre);2019-2020(Hombre);2019;2020-2021(Mujer);2020-2021(Hombre);2020;
AFGANISTAN;1;0;1;0;0;0;0;0;0;0;0;0;
ALBANIA;9;2;11;6;2;8;2;0;2;1;0;1;
ALEMANIA;345;135;480;305;145;450;324;137;461;133;74;207;
ALGERIA;13;8;21;15;8;23;17;13;30;21;11;32;
ANGOLA;0;1;1;1;1;2;0;1;1;0;0;0;
ANTILLAS HOLANDESAS;0;0;0;1;0;1;1;0;1;1;0;1;
ARABIA SAUDI;0;0;0;0;0;0;1;0;1;1;0;1;
ARGENTINA;44;13;57;37;18;55;25;22;47;24;15;39;
ARMENIA;31;11;42;33;11;44;29;10;39;25;7;32;
AUSTRALIA;2;1;3;3;2;5;8;0;8;0;0;0;
AUSTRIA;37;8;45;30;14;44;34;16;50;13;9;22;
AZERBAIYAN;0;0;0;0;0;0;1;1;2;1;0;1;
BANGLADESH;0;0;0;0;0;0;0;0;0;1;0;1;
BARBADOS;1;0;1;0;0;0;0;0;0;0;0;0;
BELGICA;70;28;98;67;21;88;76;18;94;36;9;45;
BELIZ (HOND.NORTE);0;1;1;0;0;0;0;1;1;0;0;0;
BENINNADAHAMEY;0;0;0;1;0;1;0;0;0;0;0;0;
BERMUDAS;0;0;0;0;0;0;1;0;1;0;0;0;
BIELORUSIA;5;1;6;6;1;7;10;3;13;6;2;8;
BOLIVIA;30;9;39;34;7;41;37;8;45;39;10;49;
BOSNIA HERZEGOVINA;6;1;7;5;0;5;4;1;5;0;0;0;
BRASIL;29;11;40;35;6;41;27;12;39;24;11;35;
BULGARIA;94;29;123;102;33;135;98;34;132;107;37;144;
CABO VERDE;0;0;0;0;0;0;0;0;0;1;0;1;
CAMERUN;2;0;2;1;1;2;2;0;2;1;0;1;
CANADA;3;1;4;2;3;5;4;2;6;0;1;1;
CHECOSLOVAQUIA;7;3;10;3;2;5;1;1;2;0;0;0;
CHILE;21;15;36;24;12;36;26;19;45;8;13;21;
CHILE;2;0;2;4;1;5;3;1;4;0;0;0;
CHINA (TAIWAN);15;5;20;16;7;23;16;7;23;14;7;21;
CHINA(REP.POPULAR);84;38;122;102;52;154;117;51;168;108;54;162;
CHIPRE;0;0;0;1;0;1;1;1;2;0;0;0;
COLOMBIA;84;52;136;71;45;116;63;44;107;55;38;93;
COREA DEL SUR;6;1;7;12;3;15;10;3;13;8;3;11;
COSTA RICA;1;0;1;1;0;1;1;0;1;0;1;1;
CROACIA;10;4;14;10;1;11;11;5;16;9;6;15;
CUBA;6;3;9;5;4;9;9;3;12;13;3;16;
DINAMARCA;6;7;13;9;8;17;9;7;16;8;4;12;
ECUADOR;35;21;56;28;19;47;36;17;53;37;13;50;
EE.UU. DE AMERICA;26;21;47;29;14;43;24;13;37;5;5;10;
EGIPTO;1;1;2;1;2;3;1;0;1;0;0;0;
EL SALVADOR;2;0;2;2;1;3;2;1;3;2;2;4;
ESLOVAQUIA;13;9;22;15;4;19;20;6;26;9;3;12;
ESLOVENIA;3;3;6;5;0;5;4;2;6;2;1;3;
ESPAÑA;21880;13784;35664;22166;13691;35857;22117;13456;35573;22195;13206;35401;
ESTONIA;6;0;6;9;1;10;9;2;11;4;1;5;
ETIOPIA;0;0;0;1;0;1;0;0;0;0;0;0;
FILIPINES;0;0;0;0;0;0;0;0;0;1;0;1;
FINLANDIA;24;9;33;21;10;31;26;6;32;3;4;7;
FRANCIA;242;82;324;253;98;351;267;100;367;246;72;318;
FRANJA DE GAZA;0;0;0;0;0;0;0;0;0;2;0;2;
GABON;0;0;0;1;0;1;1;0;1;1;0;1;
GEORGIA;4;0;4;5;0;5;4;2;6;4;2;6;
GHANA;0;0;0;0;0;0;0;0;0;1;0;1;
GRECIA;9;3;12;13;1;14;11;3;14;5;3;8;
GUADALUPE;1;0;1;0;0;0;0;0;0;0;0;0;
GUATEMALA;12;12;24;13;10;23;1;3;4;0;2;2;
GUINEA (REPUBLICA);2;0;2;2;1;3;2;0;2;2;0;2;
GUINEA ECUATORIAL;14;12;26;16;10;26;21;10;31;23;13;36;
HAITI;0;2;2;0;2;2;0;2;2;0;1;1;
HOLANDA (P. BAJOS);69;30;99;70;30;100;66;31;97;17;9;26;
HONDURAS;2;1;3;2;1;3;6;1;7;3;3;6;
HONGNAKONG;2;0;2;0;0;0;0;0;0;0;0;0;
HUNGRIA;12;9;21;20;10;30;23;2;25;10;3;13;
INDIA;5;5;10;3;5;8;6;6;12;7;5;12;
IRAN;1;0;1;2;0;2;5;3;8;10;9;19;
IRAQ;0;1;1;0;0;0;0;0;0;1;0;1;
IRLANDA (EIRE);22;13;35;26;16;42;29;24;53;14;11;25;
ISLANDIA;2;0;2;0;2;2;0;0;0;0;0;0;
ISLAS COOK;0;0;0;0;0;0;0;0;0;1;0;1;
ISLAS VIRGENES (ING);1;0;1;0;0;0;0;0;0;0;0;0;
