Rama;Centre;Estudi;Mujer;Hombre;Total
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Grau en Ciència de Dades;61;125;186
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Electrònica de Telecomunicació;40;214;254
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Electrònica Industrial;32;255;287
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Informàtica;41;221;262
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Multimèdia;68;223;291
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Química;145;175;320
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Telemàtica;47;250;297
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Total;434;1463;1897
Arquitectura i Enginyeria;Total;;434;1463;1897
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Grau en Estudis Anglesos;592;174;766
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Grau en Estudis Hispànics;357;89;446
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Grau en Filologia Catalana;181;68;249
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Grau en Filologia Clàssica;103;48;151
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Grau en Llengües Modernes i les seues Literatures;346;96;442
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Grau en Traducció i Mediació Interlingüística;365;84;449
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Total;1944;559;2503
Arts i Humanitats;Facultat de Filosofia i Ciències de l'Educació;Grau en Filosofia;232;253;485
Arts i Humanitats;Facultat de Filosofia i Ciències de l'Educació;Total;232;253;485
Arts i Humanitats;Facultat de Geografia i Història;Formació per a la qualificació específica en  Geografia e Història (títol propi);2;5;7
Arts i Humanitats;Facultat de Geografia i Història;Grau en Història;299;650;949
Arts i Humanitats;Facultat de Geografia i Història;Grau en Història de l'Art;505;180;685
Arts i Humanitats;Facultat de Geografia i Història;Total;806;835;1641
Arts i Humanitats;Total;;2982;1647;4629
Ciencias;Doble Grau en Física i Matemàtiques;Doble Grau en Física i Matemàtiques;7;23;30
Ciencias;Doble Grau en Física i Matemàtiques;Total;7;23;30
Ciencias;Doble Grau en Física i Química;Doble Grau en Física i Química;10;10;20
Ciencias;Doble Grau en Física i Química;Total;10;10;20
Ciencias;Facultat de Ciències Biològiques;Grau en Biologia;317;199;516
Ciencias;Facultat de Ciències Biològiques;Grau en Bioquímica i Ciències Biomèdiques;217;87;304
Ciencias;Facultat de Ciències Biològiques;Grau en Biotecnologia;206;108;314
Ciencias;Facultat de Ciències Biològiques;Grau en Ciències Ambientals;128;138;266
Ciencias;Facultat de Ciències Biològiques;Total;868;532;1400
Ciencias;Facultat de Ciències Matemàtiques;Grau en Matemàtiques;192;315;507
Ciencias;Facultat de Ciències Matemàtiques;Total;192;315;507
Ciencias;Facultat de Farmàcia;Grau en Ciències Gastronòmiques;80;69;149
Ciencias;Facultat de Farmàcia;Total;80;69;149
Ciencias;Facultat de Física;Grau en Física;133;350;483
Ciencias;Facultat de Física;Total;133;350;483
Ciencias;Facultat de Química;Grau en Química;423;370;793
Ciencias;Facultat de Química;Total;423;370;793
Ciencias;Total;;1713;1669;3382
Ciencias de la Salut;Facultat d'Infermeria i Podologia;Grau en Infermeria;1106;198;1304
Ciencias de la Salut;Facultat d'Infermeria i Podologia;Grau en Podologia;159;57;216
Ciencias de la Salut;Facultat d'Infermeria i Podologia;Total;1265;255;1520
