Campus;Centro;Estudi;a2017_2018;a2018_2019;a2019_2020;a2020_2021
CAMPUS BLASCO IBAnEZ;Facultat d'Infermeria i Podologia;Grau en Infermeria;310;320;325;325
CAMPUS BLASCO IBAnEZ;Facultat d'Infermeria i Podologia;Grau en Podologia;60;60;60;60
CAMPUS BLASCO IBAnEZ;Facultat d'Infermeria i Podologia;Total;370;380;385;385
CAMPUS BLASCO IBAnEZ;Facultat de Ciències de l'Activitat Física i l'Esport;Grau en Ciències de l'Activitat Física i de l'Esport;200;200;200;200
CAMPUS BLASCO IBAnEZ;Facultat de Ciències de l'Activitat Física i l'Esport;Total;200;200;200;200
CAMPUS BLASCO IBAnEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Comunicació Audiovisual;80;80;80;80
CAMPUS BLASCO IBAnEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Estudis Anglesos;160;160;160;160
CAMPUS BLASCO IBAnEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Estudis Hispànics;80;80;80;80
CAMPUS BLASCO IBAnEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Filologia Catala0;70;70;70;70
CAMPUS BLASCO IBAnEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Filologia Clàssica;50;50;50;50
CAMPUS BLASCO IBAnEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Llengües Modernes i les seues Literatures;100;100;100;100
CAMPUS BLASCO IBAnEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Periodisme;80;80;80;80
CAMPUS BLASCO IBAnEZ;Facultat de Filologia, Traducció i Comunicació;Grau en Traducció i Mediació Interlingüística;100;100;100;100
CAMPUS BLASCO IBAnEZ;Facultat de Filologia, Traducció i Comunicació;Total;720;720;720;720
CAMPUS BLASCO IBAnEZ;Facultat de Filosofia i Ciències de l'Educació;Grau en Educació Social;160;160;160;160
CAMPUS BLASCO IBAnEZ;Facultat de Filosofia i Ciències de l'Educació;Grau en Filosofia;120;120;120;120
CAMPUS BLASCO IBAnEZ;Facultat de Filosofia i Ciències de l'Educació;Grau en Pedagogia;160;160;160;160
CAMPUS BLASCO IBAnEZ;Facultat de Filosofia i Ciències de l'Educació;Total;440;440;440;440
CAMPUS BLASCO IBAnEZ;Facultat de Fisioteràpia;Grau en Fisioteràpia;160;160;160;160
