provincia;2017-2018(Mujer);2017-2018(Hombre);2017-2018(Total);2018-2019(Mujer);2018-2019(Hombre);2018-2019(Total);2019-2020(Mujer);2019-2020(Hombre);2019-2020(Total);2020-2021(Mujer);2020-2021(Hombre);2020-2021(Total)
Àlaba;4;0;4;2;0;2;2;1;3;4;1;5
Alacant;1.641;966;2.607;1.717;1.021;2.738;1.842;1.029;2.871;1.892;1.035;2.927
Albacete;418;280;698;430;271;701;427;273;700;433;257;690
Almeria;24;20;44;36;23;59;39;22;61;50;28;78
Astúries;7;5;12;8;2;10;6;3;9;11;5;16
Àvila;5;0;5;5;1;6;3;0;3;3;1;4
Badajoz;10;8;18;10;5;15;14;5;19;9;7;16
Barcelona;11;5;16;16;7;23;22;5;27;28;11;39
Biscaia;7;1;8;8;3;11;8;3;11;9;2;11
Burgos;13;3;16;14;5;19;14;4;18;14;3;17
Càceres;5;2;7;4;2;6;6;2;8;5;4;9
Cadis;21;7;28;19;6;25;16;7;23;17;9;26
Cantàbria;8;4;12;12;8;20;12;6;18;18;10;28
Castelló;1.212;717;1.929;1.243;734;1.977;1.272;731;2.003;1.308;714;2.022
Ceuta;5;2;7;4;0;4;2;0;2;3;0;3
Ciudad Real;64;40;104;79;36;115;75;32;107;77;45;122
Conca;292;151;443;313;143;456;313;148;461;316;168;484
Còrdova;13;5;18;12;5;17;10;10;20;4;8;12
Estranger;1.582;669;2.251;1.398;561;1.959;1.500;571;2.071;779;388;1.167
Girona;4;1;5;5;1;6;3;1;4;3;2;5
Granada;6;3;9;12;3;15;27;3;30;16;2;18
Guadalajara;2;1;3;1;1;2;1;2;3;1;3;4
Guipúscoa;7;5;12;5;6;11;6;6;12;7;4;11
Huelva;8;2;10;7;1;8;10;4;14;9;5;14
Illes Balears;78;27;105;88;27;115;89;37;126;105;48;153
Jaén;13;9;22;15;5;20;18;6;24;22;5;27
La Corunya;5;4;9;6;4;10;11;8;19;9;4;13
La Rioja;21;13;34;14;8;22;21;7;28;22;6;28
Las Palmas;37;24;61;39;25;64;51;29;80;49;27;76
Lleida;4;5;9;3;2;5;2;2;4;3;3;6
Lleó;11;5;16;10;7;17;10;6;16;13;10;23
Lugo;5;3;8;3;1;4;6;1;7;5;1;6
Madrid;33;17;50;55;30;85;48;23;71;48;23;71
Màlaga;5;13;18;9;12;21;12;9;21;13;8;21
Melilla;6;3;9;5;3;8;5;4;9;3;4;7
Múrcia;128;110;238;166;130;296;176;153;329;190;145;335
Navarra;12;7;19;17;7;24;13;8;21;22;15;37
No informat;0;1;1;44;32;76;0;0;0;5;2;7
Osca;17;8;25;27;10;37;33;13;46;51;12;63
Ourense;2;3;5;3;2;5;4;2;6;5;2;7
Palència;2;0;2;7;0;7;3;1;4;4;2;6
Pontevedra;7;6;13;15;5;20;23;9;32;17;7;24
Salamanca;6;2;8;4;2;6;11;5;16;4;1;5
Saragossa;41;9;50;53;9;62;52;13;65;62;21;83
Segòvia;1;1;2;2;1;3;4;0;4;3;1;4
Sevilla;13;5;18;11;14;25;12;9;21;6;9;15
Sòria;5;1;6;4;2;6;5;3;8;6;3;9
Tarragona;15;4;19;16;9;25;17;12;29;19;13;32
Tenerife;37;18;55;44;19;63;52;23;75;48;24;72
Terol;191;96;287;198;90;288;196;92;288;190;91;281
Toledo;14;7;21;18;8;26;22;7;29;27;12;39
València;18.745;11.769;30.514;18.990;11.736;30.726;18.769;11.449;30.218;18.495;11.036;29.531
Valladolid;3;2;5;5;2;7;5;2;7;5;1;6
Zamora;4;1;5;4;1;5;6;1;7;7;2;9
Total;24.830;15.070;39.900;25.235;15.048;40.283;25.306;14.802;40.108;24.474;14.250;38.724
