tiempo;2017Mujer;2017Hombre;2017;2018Mujer;2018Hombre;2018;2019Mujer;2019Hombre;2019;2020Mujer;2020Hombre;2020
1;269;143;412;375;207;582;412;202;614;452;194;646
2;36;17;53;29;23;52;46;16;62;49;18;67
3;89;50;139;114;53;167;73;44;117;86;44;130
4;2247;1052;3299;2323;1054;3377;2393;1168;3561;2559;1127;3686
5;952;576;1528;1052;602;1654;1064;664;1728;963;574;1537
6;498;319;817;483;353;836;554;334;888;479;293;772
7;158;147;305;146;120;266;148;110;258;160;121;281
8;57;54;111;74;67;141;93;70;163;76;54;130
9;11;12;23;35;17;52;28;32;60;33;27;60
10;1;1;2;5;4;9;15;15;30;18;13;31
10  o mas  ;2;2;4;0;0;0;1;4;5;10;11;21
