Rama;Centro;Estudi;Mujer;Hombre;Total
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Electrònica de Telecomunicació;6;28;34
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Electrònica Industrial;8;50;58
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Informàtica;4;28;32
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Multimèdia;16;45;61
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Química;23;25;48
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Grau en Enginyeria Telemàtica;2;22;24
Arquitectura i Enginyeria;Escola Tècnica Superior d'Enginyeria;Total;59;198;257
Arquitectura i Enginyeria;Total;;59;198;257
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Grau en Estudis Anglesos;75;21;96
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Grau en Estudis Hispànics;59;12;71
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Grau en Filologia Catalana;14;6;20
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Grau en Filologia Clàssica;9;5;14
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Grau en Llengües Modernes i les seues Literatures;30;14;44
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Grau en Traducció i Mediació Interlingüística;74;11;85
Arts i Humanitats;Facultat de Filologia, Traducció i Comunicació;Total;261;69;330
Arts i Humanitats;Facultat de Filosofia i Ciències de l'Educació;Grau en Filosofia;27;23;50
Arts i Humanitats;Facultat de Filosofia i Ciències de l'Educació;Total;27;23;50
Arts i Humanitats;Facultat de Geografia i Història;Grau en Història;55;91;146
Arts i Humanitats;Facultat de Geografia i Història;Grau en Història de l'Art;63;25;88
Arts i Humanitats;Facultat de Geografia i Història;Total;118;116;234
Arts i Humanitats;Total;;406;208;614
Ciències;Facultat de Ciències Biològiques;Grau en Biologia;48;38;86
