trabajo;a2017;2018;2019;2020;
A l'atur;1;2902;2776;2776;
Altra situació;2;4717;4482;4297;
Directors/es o Gerents/as d´Empreses de l´Administració Pública ;4769;14;0;0;
Empleats/des Administratius/ves i Treballadors/es dels Serveis ;11850;10;0;2;
Incapacitació laboral;0;613;598;665;
Jubilació;0;1346;1206;1095;
No consta;2;4859;4805;3866;
No informat;258;508;399;232;
Ocupacions domèstiques no retribuïdes;0;5409;5168;4819;
Ocupacions militars;0;107;135;95;
Persones que no han tingut un treball remunerat;11215;15;1;2;
Professionals de les Forces Armades;114;1;0;0;
Tècnics/ques o Professionals Associats/des a Titulacions Universitàries o No Universitàries de Caràcter Postsecundari;2238;4;0;0;
Treballadors/es No Qualificats/des;6708;26;1;0;
Treballadors/es Qualificats/des en Agricultura i Pesca;913;1;1;2;
Treballadors/es Qualificats/des i Operaris/es de Màquines a la Industria;1829;1;1;1;
Treballs artesans i qualificats d'indústries manufactureres,  construcció i mineria,  excepte d'operadors d'instal·lacions i maquinària;0;450;458;509;
Treballs comptables i administratius;0;5725;6199;6296;
Treballs d'operació d'instal·lacions i maquinari i de muntatge;0;166;182;171;
Treballs de direcció i gerència;0;1465;1548;1552;
Treballs en serveis de restauració,  personals,  protecció  i comerç;0;3328;3451;3509;
Treballs no qualificats;1;2682;2336;2197;
Treballs qualificats en agricultura i pesca;0;310;297;296;
Treballs tècnics i professionals de suport;0;1586;1827;1905;
Treballs tècnics i professionals en camps científics i Intel·lectuals;0;4038;4237;4437;
;;;;;
;;;;;
